,file number,district code,district name,neighborhood code,neighborhood name,street code,street name,postal no.,i describe the day of the week,nk  year,month/year,month name,day month,shift description,time of day,i describe a pedestrian cause,desc type of vehicle involved,description of sex,how old are you?,description of the type of person,i describe the place of the road run over,descriptio reason for commuting,i describe the reason for the displacement of the driver,victimization description,utm x ed50 coordinate,utm and ed50 coordinate,length wgs84,wgs84 latitude
926,2021S000163    ,2,Eixample,6,la Sagrada Família,109101,Enamorats,0074 0074,Dimarts,2021,1,Gener,12,Matí,11,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,39,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431718.0,4584204.36,2.181961776,41.404636787
927,2021S001621    ,2,Eixample,6,la Sagrada Família,109101,Enamorats,0076 0076,Dilluns,2021,3,Març,29,Matí,9,No és causa del  vianant,Bicicleta,Home,45,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Amb assistència sanitària en lloc d'accident,431722.32,4584211.47,2.182012652,41.404701192
928,2021S006938    ,2,Eixample,6,la Sagrada Família,144601,Diagonal,0310 0310,Dimecres,2021,12,Desembre,1,Matí,10,No és causa del  vianant,Motocicleta,Dona,22,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431224.19,4583797.83,2.17610072,41.40093318
929,2021S006938    ,2,Eixample,6,la Sagrada Família,144601,Diagonal,0310 0310,Dimecres,2021,12,Desembre,1,Matí,10,No és causa del  vianant,Motocicleta,Home,22,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,431224.19,4583797.83,2.17610072,41.40093318
930,2021S003865    ,2,Eixample,6,la Sagrada Família,144601,Diagonal,0310 0310,Diumenge,2021,7,Juliol,11,Tarda,20,No és causa del  vianant,Motocicleta,Dona,26,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431224.19,4583797.83,2.17610072,41.40093318
931,2021S003865    ,2,Eixample,6,la Sagrada Família,144601,Diagonal,0310 0310,Diumenge,2021,7,Juliol,11,Tarda,20,No és causa del  vianant,Motocicleta,Home,23,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431224.19,4583797.83,2.17610072,41.40093318
932,2021S005512    ,2,Eixample,6,la Sagrada Família,144601,Diagonal,0310 0310,Diumenge,2021,10,Octubre,3,Tarda,16,No és causa del  vianant,Motocicleta,Home,29,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,431224.19,4583797.83,2.17610072,41.40093318
933,2021S003658    ,2,Eixample,6,la Sagrada Família,161407,Indústria,0102 0102,Divendres,2021,7,Juliol,2,Matí,12,No és causa del  vianant,Motocicleta,Home,35,Conductor,Desconegut                                                                                                                                            ,Desconegut,Altres activitats,Ferit lleu: Amb assistència sanitària en lloc d'accident,430836.58,4584482.44,2.171385879,41.407065972
934,2021S005371    ,2,Eixample,6,la Sagrada Família,161407,Indústria,0127 0127,Dilluns,2021,9,Setembre,27,Tarda,18,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,34,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Amb assistència sanitària en lloc d'accident,430926.93,4584609.7,2.172452209,41.408219934
935,2021S006619    ,2,Eixample,6,la Sagrada Família,161407,Indústria,0136 0136,Dijous,2021,11,Novembre,18,Tarda,15,No és causa del  vianant,Motocicleta,Home,55,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,430983.39,4584634.01,2.173124882,41.408443739
936,2021S004082    ,2,Eixample,6,la Sagrada Família,161407,Indústria,0169 0169,Dimarts,2021,7,Juliol,20,Tarda,16,No és causa del  vianant,Motocicleta,Dona,Desconegut,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431154.7,4584833.52,2.175151609,41.41025536
937,2021S004082    ,2,Eixample,6,la Sagrada Família,161407,Indústria,0169 0169,Dimarts,2021,7,Juliol,20,Tarda,16,No és causa del  vianant,Motocicleta,Dona,25,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,431154.7,4584833.52,2.175151609,41.41025536
938,2021S005596    ,2,Eixample,6,la Sagrada Família,161407,Indústria,0195 0195,Dimecres,2021,10,Octubre,6,Nit,23,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,45,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431249.81,4584925.37,2.176279031,41.411090768
939,2021S004767    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Dilluns,2021,8,Agost,30,Matí,11,No és causa del  vianant,Turisme,Dona,71,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,431553.09,4583925.51,2.180020565,41.402111238
940,2021S004767    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Dilluns,2021,8,Agost,30,Matí,11,No és causa del  vianant,Turisme,Home,46,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431553.09,4583925.51,2.180020565,41.402111238
941,2021S004767    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Dilluns,2021,8,Agost,30,Matí,11,No és causa del  vianant,Turisme,Home,51,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431553.09,4583925.51,2.180020565,41.402111238
942,2021S006082    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Dimecres,2021,10,Octubre,27,Tarda,16,No és causa del  vianant,Motocicleta,Dona,31,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431553.09,4583925.51,2.180020565,41.402111238
943,2021S007548    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Dissabte,2021,12,Desembre,25,Nit,0,No és causa del  vianant,Taxi,Home,21,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431553.09,4583925.51,2.180020565,41.402111238
944,2021S007548    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Dissabte,2021,12,Desembre,25,Nit,0,No és causa del  vianant,Turisme,Dona,26,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,431553.09,4583925.51,2.180020565,41.402111238
945,2021S004990    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Divendres,2021,9,Setembre,10,Matí,9,No és causa del  vianant,Autobús articulat,Home,47,Conductor,Desconegut                                                                                                                                            ,Desconegut,Bus de línia regular,Ferit lleu: Amb assistència sanitària en lloc d'accident,431553.09,4583925.51,2.180020565,41.402111238
946,2021S004990    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Divendres,2021,9,Setembre,10,Matí,9,No és causa del  vianant,Autobús articulat,Dona,30,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,431553.09,4583925.51,2.180020565,41.402111238
947,2021S004990    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Divendres,2021,9,Setembre,10,Matí,9,No és causa del  vianant,Autobús articulat,Dona,35,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431553.09,4583925.51,2.180020565,41.402111238
948,2021S004990    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Divendres,2021,9,Setembre,10,Matí,9,No és causa del  vianant,Autobús articulat,Dona,69,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431553.09,4583925.51,2.180020565,41.402111238
949,2021S004990    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Divendres,2021,9,Setembre,10,Matí,9,No és causa del  vianant,Autobús articulat,Home,51,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431553.09,4583925.51,2.180020565,41.402111238
950,2021S004990    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0224 0224,Divendres,2021,9,Setembre,10,Matí,9,No és causa del  vianant,Furgoneta,Home,71,Conductor,Desconegut                                                                                                                                            ,Desconegut,En missió,Ferit lleu: Hospitalització fins a 24h,431553.09,4583925.51,2.180020565,41.402111238
951,2021S000738    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0231 0231,Divendres,2021,2,Febrer,12,Tarda,17,No és causa del  vianant,Bicicleta,Dona,48,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431431.43,4583998.16,2.178557012,41.402755202
952,2021S004661    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0238 0242,Dilluns,2021,8,Agost,23,Matí,11,No és causa del  vianant,Ciclomotor,Home,45,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431496.5,4583977.6,2.179337727,41.402575574
953,2021S005074    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0238 0242,Dimarts,2021,9,Setembre,14,Nit,5,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,46,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Amb assistència sanitària en lloc d'accident,431496.5,4583977.6,2.179337727,41.402575574
954,2021S006579    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0238 0242,Dimecres,2021,11,Novembre,17,Nit,0,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,22,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Amb assistència sanitària en lloc d'accident,431496.5,4583977.6,2.179337727,41.402575574
955,2021S003038    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0238 0242,Diumenge,2021,6,Juny,6,Tarda,18,No és causa del  vianant,Motocicleta,Dona,23,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431496.5,4583977.6,2.179337727,41.402575574
956,2021S006108    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0251 0251,Dijous,2021,10,Octubre,28,Tarda,17,No és causa del  vianant,Taxi,Dona,18,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,431339.53,4584106.62,2.177445368,41.40372422
957,2021S006108    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0251 0251,Dijous,2021,10,Octubre,28,Tarda,17,No és causa del  vianant,Turisme,Dona,39,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431339.53,4584106.62,2.177445368,41.40372422
958,2021S005676    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0258 0258,Diumenge,2021,10,Octubre,10,Tarda,21,No és causa del  vianant,Motocicleta,Home,23,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431398.84,4584077.09,2.178158211,41.403463318
959,2021S007068    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0260 0260,Diumenge,2021,12,Desembre,5,Matí,10,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,18,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431359.28,4584117.4,2.177680404,41.403823
960,2021S001494    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0269 0269,Dimarts,2021,3,Març,23,Tarda,15,No és causa del  vianant,Ciclomotor,Dona,21,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431247.04,4584201.49,2.176328177,41.404570775
961,2021S004780    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0269 0269,Dimarts,2021,8,Agost,31,Matí,7,No és causa del  vianant,Motocicleta,Home,33,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431247.04,4584201.49,2.176328177,41.404570775
962,2021S002720    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0275 0275,Diumenge,2021,5,Maig,23,Tarda,18,No és causa del  vianant,Motocicleta,Dona,33,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431224.5,4584224.41,2.176055934,41.40477528
963,2021S004484    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0277 0277,Dimecres,2021,8,Agost,11,Tarda,14,No és causa del  vianant,Turisme,Home,31,Conductor,Desconegut                                                                                                                                            ,Desconegut,Altres activitats,Ferit lleu: Hospitalització fins a 24h,431213.74,4584235.35,2.175925971,41.404872892
964,2021S004484    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0277 0277,Dimecres,2021,8,Agost,11,Tarda,14,No és causa del  vianant,Turisme,Dona,52,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Amb assistència sanitària en lloc d'accident,431213.74,4584235.35,2.175925971,41.404872892
965,2021S004426    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0289 0291,Divendres,2021,8,Agost,6,Tarda,21,No és causa del  vianant,Motocicleta,Home,36,Conductor,Desconegut                                                                                                                                            ,Desconegut,Transport professional de mercaderies,Ferit lleu: Amb assistència sanitària en lloc d'accident,431146.73,4584303.97,2.175116542,41.40548519
966,2021S001604    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0294 0294,Dissabte,2021,3,Març,27,Nit,23,No és causa del  vianant,Motocicleta,Home,30,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431172.31,4584308.68,2.175422014,41.405529804
967,2021S006263    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0297 0297,Dissabte,2021,10,Octubre,30,Nit,1,No és causa del  vianant,Motocicleta,Home,22,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431121.96,4584329.4,2.174817328,41.405712107
968,2021S006263    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0297 0297,Dissabte,2021,10,Octubre,30,Nit,1,No és causa del  vianant,Motocicleta,Home,21,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431121.96,4584329.4,2.174817328,41.405712107
969,2021S007284    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0299 0299,Dimecres,2021,12,Desembre,15,Matí,7,No és causa del  vianant,Motocicleta,Dona,25,Conductor,Desconegut                                                                                                                                            ,Desconegut,Altres activitats,Ferit lleu: Amb assistència sanitària en lloc d'accident,431112.79,4584338.81,2.174706557,41.405796074
970,2021S001306    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0301 0301,Dilluns,2021,3,Març,15,Matí,7,No és causa del  vianant,Motocicleta,Home,25,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431058.97,4584394.06,2.17405642,41.406289076
971,2021S001124    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0301 0301,Divendres,2021,3,Març,5,Matí,11,No és causa del  vianant,Motocicleta,Home,34,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431058.97,4584394.06,2.17405642,41.406289076
972,2021S003327    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0301 0301,Divendres,2021,6,Juny,18,Tarda,14,No és causa del  vianant,Motocicleta,Dona,48,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431058.97,4584394.06,2.17405642,41.406289076
973,2021S005334    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0307 0307,Dissabte,2021,9,Setembre,25,Tarda,14,No és causa del  vianant,Taxi,Home,53,Conductor,Desconegut                                                                                                                                            ,Desconegut,Taxi,Ferit lleu: Hospitalització fins a 24h,431047.22,4584406.15,2.173914477,41.406396959
974,2021S001895    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0314 0314,Dimarts,2021,4,Abril,13,Tarda,15,No és causa del  vianant,Ciclomotor,Home,45,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431112.99,4584377.09,2.17470459,41.406140867
975,2021S003264    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0319B0319B,Dimarts,2021,6,Juny,15,Tarda,15,No és causa del  vianant,Motocicleta,Dona,31,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,430967.94,4584480.58,2.17295756,41.407060517
976,2021S003264    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0319B0319B,Dimarts,2021,6,Juny,15,Tarda,15,No és causa del  vianant,Motocicleta,Dona,56,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,430967.94,4584480.58,2.17295756,41.407060517
977,2021S007592    ,2,Eixample,6,la Sagrada Família,178308,Lepant,0350 0354,Dilluns,2021,12,Desembre,27,Tarda,20,No és causa del  vianant,Ciclomotor,Home,53,Conductor,Desconegut                                                                                                                                            ,Desconegut,Transport professional de mercaderies,Ferit lleu: Hospitalització fins a 24h,430885.66,4584600.01,2.171959592,41.40812911
978,2021S004787    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0417 0417,Dimarts,2021,8,Agost,31,Matí,10,No és causa del  vianant,Motocicleta,Home,36,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431251.52,4584185.71,2.176383563,41.404429033
979,2021S004148    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0425 0425,Divendres,2021,7,Juliol,23,Matí,10,No és causa del  vianant,Motocicleta,Home,58,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431322.62,4584246.74,2.177227175,41.404984792
980,2021S005030    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0436B0436B,Diumenge,2021,9,Setembre,12,Tarda,14,No és causa del  vianant,Bicicleta,Home,23,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Amb assistència sanitària en lloc d'accident,431305.53,4584199.54,2.177028092,41.404558215
981,2021S000811    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0439B0439B,Dimarts,2021,2,Febrer,16,Matí,11,No és causa del  vianant,Ciclomotor,Dona,27,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431364.98,4584301.34,2.17772772,41.405480177
982,2021S006532    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0452 0452,Dilluns,2021,11,Novembre,15,Matí,10,No és causa del  vianant,Motocicleta,Home,24,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Amb assistència sanitària en lloc d'accident,431362.23,4584251.08,2.177700525,41.405027266
983,2021S004673    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0452 0452,Dimarts,2021,8,Agost,24,Matí,7,No és causa del  vianant,Motocicleta,Home,22,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431362.23,4584251.08,2.177700525,41.405027266
984,2021S000906    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0494 0494,Dilluns,2021,2,Febrer,22,Matí,6,No és causa del  vianant,Turisme,Dona,58,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,431543.25,4584431.54,2.179845593,41.406668057
985,2021S000906    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0494 0494,Dilluns,2021,2,Febrer,22,Matí,6,No és causa del  vianant,Tot terreny,Home,38,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Amb assistència sanitària en lloc d'accident,431543.25,4584431.54,2.179845593,41.406668057
986,2021S000906    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0494 0494,Dilluns,2021,2,Febrer,22,Matí,6,No és causa del  vianant,Turisme,Home,25,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431543.25,4584431.54,2.179845593,41.406668057
987,2021S002293    ,2,Eixample,6,la Sagrada Família,191204,Mallorca,0508 0512,Dilluns,2021,5,Maig,3,Tarda,18,No és causa del  vianant,Motocicleta,Home,35,Conductor,Desconegut                                                                                                                                            ,Desconegut,Altres activitats,Ferit lleu: Hospitalització fins a 24h,431621.79,4584508.61,2.180776456,41.407368892
988,2021S000756    ,2,Eixample,6,la Sagrada Família,197302,Marina,0211X0211X,Dissabte,2021,2,Febrer,13,Matí,11,No és causa del  vianant,Motocicleta,Home,53,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431387.75,4583871.98,2.178048809,41.401615009
989,2021S002879    ,2,Eixample,6,la Sagrada Família,197302,Marina,0212X0212X,Dilluns,2021,5,Maig,31,Tarda,14,No és causa del  vianant,Motocicleta,Home,47,Conductor,Desconegut                                                                                                                                            ,Desconegut,En missió,Ferit lleu: Hospitalització fins a 24h,431407.6,4583880.66,2.178285273,41.401694881
990,2021S006219    ,2,Eixample,6,la Sagrada Família,197302,Marina,0214 0214,Dimarts,2021,11,Novembre,2,Tarda,16,No és causa del  vianant,Motocicleta,Home,26,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431368.79,4583937.45,2.177814581,41.402203058
991,2021S004181    ,2,Eixample,6,la Sagrada Família,197302,Marina,0214 0214,Dissabte,2021,7,Juliol,24,Tarda,19,No és causa del  vianant,Ciclomotor,Dona,23,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431368.79,4583937.45,2.177814581,41.402203058
992,2021S005844    ,2,Eixample,6,la Sagrada Família,197302,Marina,0219 0219,Dilluns,2021,10,Octubre,18,Matí,10,No és causa del  vianant,Motocicleta,Home,53,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,431342.93,4583916.81,2.177507581,41.40201495
993,2021S002374    ,2,Eixample,6,la Sagrada Família,197302,Marina,0219 0219,Divendres,2021,5,Maig,7,Matí,7,No és causa del  vianant,Motocicleta,Dona,48,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431342.93,4583916.81,2.177507581,41.40201495
994,2021S007017    ,2,Eixample,6,la Sagrada Família,197302,Marina,0219 0219,Divendres,2021,12,Desembre,3,Tarda,14,No és causa del  vianant,Motocicleta,Dona,64,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431342.93,4583916.81,2.177507581,41.40201495
995,2021S005755    ,2,Eixample,6,la Sagrada Família,197302,Marina,0235 0235,Dijous,2021,10,Octubre,14,Tarda,15,No és causa del  vianant,Motocicleta,Dona,51,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431286.97,4583974.49,2.176831628,41.402529673
996,2021S004801    ,2,Eixample,6,la Sagrada Família,197302,Marina,0265 0267,Dimarts,2021,8,Agost,31,Tarda,20,No és causa del  vianant,Bicicleta,Dona,30,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,431026.66,4584243.59,2.173687055,41.404931068
997,2021S002780    ,2,Eixample,6,la Sagrada Família,197302,Marina,0300 0302,Dijous,2021,5,Maig,27,Matí,9,No és causa del  vianant,Motocicleta,Dona,52,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,431022.0,4584285.53,2.173626526,41.405308408
998,2021S002780    ,2,Eixample,6,la Sagrada Família,197302,Marina,0300 0302,Dijous,2021,5,Maig,27,Matí,9,No és causa del  vianant,Motocicleta,Dona,51,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Amb assistència sanitària en lloc d'accident,431022.0,4584285.53,2.173626526,41.405308408
999,2021S000171    ,2,Eixample,6,la Sagrada Família,197302,Marina,0300 0302,Dimarts,2021,1,Gener,12,Tarda,16,No és causa del  vianant,Ciclomotor,Dona,36,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,431022.0,4584285.53,2.173626526,41.405308408
1000,2021S005977    ,2,Eixample,6,la Sagrada Família,225500,Nàpols,0248 0248,Dissabte,2021,10,Octubre,23,Tarda,14,No és causa del  vianant,Turisme,Dona,51,Passatger,Desconegut                                                                                                                                            ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,430861.84,4583842.74,2.171761176,41.401306575
1001,2021S006228    ,2,Eixample,6,la Sagrada Família,238400,Padilla,0190 0190,Dimarts,2021,11,Novembre,2,Tarda,20,No és causa del  vianant,Motocicleta,Home,44,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Amb assistència sanitària en lloc d'accident,431640.36,4584012.72,2.181054651,41.402904142
1002,2021S006189    ,2,Eixample,6,la Sagrada Família,238400,Padilla,0200 0200,Dilluns,2021,11,Novembre,1,Matí,8,No és causa del  vianant,Turisme,Home,65,Conductor,Desconegut                                                                                                                                            ,Desconegut,Taxi,Ferit lleu: Amb assistència sanitària en lloc d'accident,431543.52,4584110.34,2.179885173,41.403775131
1003,2021S006047    ,2,Eixample,6,la Sagrada Família,238400,Padilla,0200 0200,Dimarts,2021,10,Octubre,26,Tarda,19,No és causa del  vianant,Motocicleta,Home,58,Conductor,Desconegut                                                                                                                                            ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,431543.52,4584110.34,2.179885173,41.403775131
1004,2021S007185    ,2,Eixample,6,la Sagrada Família,238400,Padilla,0204 0206,Dissabte,2021,12,Desembre,11,Matí,10,No és causa del  vianant,Motocicleta,Home,40,Conductor,Desconegut                                                                                                                                            ,Desconegut,Altres activitats,Ferit lleu: Amb assistència sanitària en lloc d'accident,431523.2,4584131.13,2.179639742,41.403960648
1005,2021S001712    ,2,Eixample,6,la Sagrada Família,238400,Padilla,0209 0209,Divendres,2021,4,Abril,2,Matí,13,No és causa del  vianant,Bicicleta,Home,79,Conductor,Desconegut                                                                                                                                            ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,431527.64,4584095.62,2.179696875,41.403641199
1006,2021S002803    ,2,Eixample,6,la Sagrada Família,238400,Padilla,0212 0214,Divendres,2021,5,Maig,28,Matí,8,No és causa del  vianant,Ciclomotor,Dona,29,Conductor,Desconegut                                                                                                                                            ,Desconegut,In itínere,Ferit lleu: Amb assistència sanitària en lloc d'accident,431505.76,4584149.32,2.179429056,41.404122994
